,,,,,# Outbound SALs,,160.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Closing,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,3476.25,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.299748292,,,,,,,,,,,,
,,,,% MQL → WON,,,0.09423042141,,,,,,,,,,,,
,,,,# WONs,,,1042.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,20954.7025,,,,,,,,,,,,
,,,,# Revenue Won,,,21834800.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Enterprise,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,107.5,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,,
,,,,% MQL → WON,,,0.06299212598,,,,,,,,,,,,
,,,,# WONs,,,32.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,48900.0,,,,,,,,,,,,
,,,,# Revenue Won,,,1564800.0,,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.2,,,,,,,,,,,,
,,,,,% [Potencializar],,0.1,,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,30000.0,,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,31600.0,,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,145000.0,,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,1.0,,,,,,,,,,,,
,,,,,# [Saber],,20.0,,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,600000.0,,,,,,,,,,,,
,,,,,# [Ter],,3.0,,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,94800.0,,,,,,,,,,,,
