,,VM4,,# SALs,,,3390.0,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3002949853,,,,,,,,,,,
,,,,% MQL → WON,,,0.09436410827,,,,,,,,,,,
,,,,# WONs,,,1018.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,20922.69155,,,,,,,,,,,
,,,,# Revenue Won,,,21299300.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Enterprise,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,106.25,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,
,,,,% MQL → WON,,,0.06451612903,,,,,,,,,,,
,,,,# WONs,,,32.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,48900.0,,,,,,,,,,,
,,,,# Revenue Won,,,1564800.0,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.2,,,,,,,,,,,
,,,,,% [Potencializar],,0.1,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,30000.0,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,31600.0,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,145000.0,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,1.0,,,,,,,,,,,
,,,,,# [Saber],,20.0,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,600000.0,,,,,,,,,,,
,,,,,# [Ter],,3.0,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,94800.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty],,6.0,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,870000.0,,,,,,,,,,,
,,,,,# [Potencializar],,3.0,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Large,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,146.25,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,
,,,,% MQL → WON,,,0.07985480944,,,,,,,,,,,
,,,,# WONs,,,44.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,35227.27273,,,,,,,,,,,
,,,,# Revenue Won,,,1550000.0,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.2,,,,,,,,,,,
,,,,,% [Potencializar],,0.1,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,25000.0,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,18000.0,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,99000.0,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,
,,,,,# [Saber],,26.0,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,650000.0,,,,,,,,,,,
,,,,,# [Ter],,6.0,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,108000.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty],,8.0,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,792000.0,,,,,,,,,,,
,,,,,# [Potencializar],,4.0,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Medium,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,702.5,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,
,,,,% MQL → WON,,,0.09670027498,,,,,,,,,,,
,,,,# WONs,,,211.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,28137.44076,,,,,,,,,,,
,,,,# Revenue Won,,,5937000.0,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.3,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,20000.0,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,15000.0,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,49000.0,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,
,,,,,# [Saber],,126.0,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,2520000.0,,,,,,,,,,,
,,,,,# [Ter],,22.0,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,330000.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty],,63.0,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,3087000.0,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Small,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,1655.0,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,
,,,,% MQL → WON,,,0.09676791277,,,,,,,,,,,
,,,,# WONs,,,497.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,18289.73843,,,,,,,,,,,
,,,,# Revenue Won,,,9090000.0,,,,,,,,,,,
,,,,,% [Saber],,0.8,,,,,,,,,,,
,,,,,% [Ter],,0.2,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.0,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,20000.0,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,11500.0,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,
,,,,,# [Saber],,397.0,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,7940000.0,,,,,,,,,,,
,,,,,# [Ter],,100.0,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,1150000.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Tiny,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,780.0,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,
,,,,% MQL → WON,,,0.09657449443,,,,,,,,,,,
,,,,# WONs,,,234.0,,,,,,,,,,,
,,,,$ Average Ticket ,,,13493.58974,,,,,,,,,,,
,,,,# Revenue Won,,,3157500.0,,,,,,,,,,,
,,,,,% [Saber],,0.8,,,,,,,,,,,
,,,,,% [Ter],,0.2,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.0,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,15000.0,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,7500.0,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,
,,,,,# [Saber],,187.0,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,2805000.0,,,,,,,,,,,
,,,,,# [Ter],,47.0,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,352500.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty],,0.0,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,0.0,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Activation,,,,,,,,,,,,,,,,,
,,VM5,,# WONs,,,1018.0,,,,,,,,,,,
,,CR5,,% WONs → Activation,,,0.9243614931,,,,,,,,,,,
,,,,# Customers Activated,,,941.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,VM5,,# Revenue Won,,,21299300.0,,,,,,,,,,,
,,CR5,,% Revenue Won → Activation,,,0.93,,,,,,,,,,,
,,,,$ Revenue Activated,,,19808349.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Enterprise,,,,,,,,,,,,,,,
,,,,# WONs,,,32.0,,,,,,,,,,,
,,,,% Activations,,,0.875,,,,,,,,,,,
,,,,# Activations,,,28.0,,,,,,,,,,,
,,,,$ Revenue Activated,,,0.93,,,,,,,,,,,
,,,,# Revenue Activations,,,1455264.0,,,,,,,,,,,
,,,,,%  [Saber],,0.93,,,,,,,,,,,
,,,,,%  Revenue [Saber],,0.93,,,,,,,,,,,
,,,,,%  [Ter],,0.93,,,,,,,,,,,
